gene	tissue	rsq	pval	chr
ENSG00000236098.1	Thyroid	0.105296054462097	1.53438171454112e-15	1
ENSG00000007968.6	Thyroid	0.294753860988524	2.58211575089113e-45	1
ENSG00000016602.9	Thyroid	0.0577152545186407	5.58373256641836e-09	1
ENSG00000035687.9	Thyroid	0.166176353203506	2.1690709507295e-24	1
ENSG00000059588.9	Thyroid	0.140579170039271	1.34110679415537e-20	1
ENSG00000066557.5	Thyroid	0.24747921875287	3.22331041089059e-37	1
ENSG00000076258.9	Thyroid	0.261304202860967	1.56147622109e-39	1
ENSG00000076356.6	Thyroid	0.0503113386951727	5.58715533363704e-08	1
ENSG00000084628.9	Thyroid	0.116652728019469	3.78140730097278e-17	1
ENSG00000097096.8	Thyroid	0.121448874034685	7.81479440857961e-18	1
ENSG00000116273.5	Thyroid	0.0789469991566645	7.10177229366605e-12	1
ENSG00000116649.9	Thyroid	0.165312053846754	2.92458704979989e-24	1
ENSG00000116661.9	Thyroid	0.361732599957505	9.40362067252928e-58	1
ENSG00000116704.7	Thyroid	0.189060694839015	7.1159489588939e-28	1
ENSG00000116741.7	Thyroid	0.0766771538615167	1.45601484324399e-11	1
ENSG00000116752.5	Thyroid	0.0499350808627109	6.2794706348274e-08	1
ENSG00000116819.6	Thyroid	0.0885625796292502	3.34073071810928e-13	1
ENSG00000116824.4	Thyroid	0.0501245883391772	5.92068685301297e-08	1
ENSG00000116903.7	Thyroid	0.0535681977070839	2.03083474362533e-08	1
ENSG00000116981.3	Thyroid	0.169427700602064	7.02870526192143e-25	1
ENSG00000117016.9	Thyroid	0.155258220738813	9.25886601959483e-23	1
ENSG00000117091.9	Thyroid	0.0426149715084631	6.07371581273712e-07	1
ENSG00000117228.9	Thyroid	0.0848075761911891	1.10553391244559e-12	1
ENSG00000117318.8	Thyroid	0.145372908823499	2.66436725037578e-21	1
ENSG00000117592.8	Thyroid	0.288141519979497	3.76692794789407e-44	1
ENSG00000117593.9	Thyroid	0.072089840494684	6.18819868983373e-11	1
ENSG00000117614.9	Thyroid	0.0540709354845827	1.7368605075641e-08	1
ENSG00000117691.9	Thyroid	0.131236716999504	3.05470413654343e-19	1
ENSG00000117748.9	Thyroid	0.727401356185807	1.4179394484108e-163	1
ENSG00000118217.5	Thyroid	0.229202880714411	3.20108755506167e-34	1
ENSG00000118292.8	Thyroid	0.173290245894177	1.83274954028255e-25	1
ENSG00000118655.4	Thyroid	0.0571361616114911	6.68817387132649e-09	1
ENSG00000120333.4	Thyroid	0.0717752417671726	6.8324555955599e-11	1
ENSG00000120937.8	Thyroid	0.190058813795792	4.99042811370618e-28	1
ENSG00000121454.5	Thyroid	0.152432218156318	2.42825105940748e-22	1
ENSG00000121769.7	Thyroid	0.178904117323179	2.5703021265415e-26	1
ENSG00000121905.9	Thyroid	0.0723616825312457	5.68053210339013e-11	1
ENSG00000122420.9	Thyroid	0.0346392294946632	7.16986498979923e-06	1
ENSG00000122484.8	Thyroid	0.0530298957426417	2.40086825056813e-08	1
ENSG00000123091.4	Thyroid	0.111591018860438	1.98020448558843e-16	1
ENSG00000123685.8	Thyroid	0.119533805621075	1.46801235201428e-17	1
ENSG00000127125.8	Thyroid	0.100500366275248	7.23976918394775e-15	1
ENSG00000127129.9	Thyroid	0.0830568868202271	1.92886825069914e-12	1
ENSG00000130764.9	Thyroid	0.213900881040435	9.15627594434414e-32	1
ENSG00000130766.4	Thyroid	0.027313464428208	6.94115284273535e-05	1
ENSG00000134198.9	Thyroid	0.101192578103941	5.7897609173225e-15	1
ENSG00000134253.9	Thyroid	0.102440415785416	3.86832343093384e-15	1
ENSG00000135763.9	Thyroid	0.0284120567505858	4.93565413164406e-05	1
ENSG00000135766.8	Thyroid	0.0740698553704996	3.3159679713322e-11	1
ENSG00000135776.4	Thyroid	0.073253294481	4.28946449293024e-11	1
ENSG00000135801.9	Thyroid	0.161032420958207	1.27896905849654e-23	1
ENSG00000136634.5	Thyroid	0.023971664150275	0.000196243771392857	1
ENSG00000137960.5	Thyroid	0.0527021837307971	2.65835843634474e-08	1
ENSG00000137975.7	Thyroid	0.135356222198805	7.72773398988733e-20	1
ENSG00000142959.4	Thyroid	0.190800776255589	3.83240292142708e-28	1
ENSG00000143001.4	Thyroid	0.0675426319951721	2.58386449311455e-10	1
ENSG00000143006.7	Thyroid	0.321340153829605	4.17351824577459e-50	1
ENSG00000143028.8	Thyroid	0.234986312326014	3.66854981757844e-35	1
ENSG00000143067.4	Thyroid	0.0698048170539064	1.26981770931153e-10	1
ENSG00000143125.5	Thyroid	0.149271196078723	7.1140869717289e-22	1
ENSG00000143126.7	Thyroid	0.141448254730011	1.00112441103603e-20	1
ENSG00000143162.7	Thyroid	0.135962184984557	6.30996969272912e-20	1
ENSG00000143184.4	Thyroid	0.119961659729391	1.27527146505021e-17	1
ENSG00000143185.3	Thyroid	0.297589133428779	8.1201707298168e-46	1
ENSG00000143315.6	Thyroid	0.34377681689871	2.6929618791934e-54	1
ENSG00000143320.8	Thyroid	0.0283477980785158	5.03504532982046e-05	1
ENSG00000143340.6	Thyroid	0.456009511913908	1.17972508479951e-77	1
ENSG00000143368.9	Thyroid	0.0395724448184902	1.55773061973911e-06	1
ENSG00000143412.9	Thyroid	0.0864802533735374	6.4903632069194e-13	1
ENSG00000143520.6	Thyroid	0.114326176630869	8.1023766381333e-17	1
ENSG00000143614.9	Thyroid	0.0621437150610878	1.40145986174582e-09	1
ENSG00000143630.9	Thyroid	0.06103087518579	1.98427840814659e-09	1
ENSG00000143641.9	Thyroid	0.172282973055153	2.60368896627722e-25	1
ENSG00000143816.7	Thyroid	0.0896859335899119	2.3335707229083e-13	1
ENSG00000143862.7	Thyroid	0.240090333067099	5.35088209613701e-36	1
ENSG00000154309.8	Thyroid	0.391668365267764	9.76293625790669e-64	1
ENSG00000156876.9	Thyroid	0.147539715404925	1.27979069037654e-21	1
ENSG00000157911.9	Thyroid	0.0770973472656486	1.27493899885375e-11	1
ENSG00000157933.9	Thyroid	0.122700959744309	5.17137489834217e-18	1
ENSG00000158008.9	Thyroid	0.113601595234768	1.02690027646186e-16	1
ENSG00000158022.6	Thyroid	0.341870442971253	6.19064712366414e-54	1
ENSG00000158156.7	Thyroid	0.203658313875115	3.80306764897221e-30	1
ENSG00000158473.6	Thyroid	0.0510911626273245	4.3854701524026e-08	1
ENSG00000158615.8	Thyroid	0.0259485898904233	0.000106070936563378	1
ENSG00000158715.5	Thyroid	0.0349326208494179	6.54748951576386e-06	1
ENSG00000158716.8	Thyroid	0.0341081744467794	8.4507902579639e-06	1
ENSG00000158825.5	Thyroid	0.461570371203185	6.20775947054833e-79	1
ENSG00000158828.7	Thyroid	0.113217013884716	1.1644528283979e-16	1
ENSG00000159164.9	Thyroid	0.0447499636726104	3.13517838580322e-07	1
ENSG00000159388.5	Thyroid	0.0230644841068079	0.000260391117545744	1
ENSG00000160716.5	Thyroid	0.0346771002842409	7.08631551606448e-06	1
ENSG00000160803.7	Thyroid	0.0934447058316492	7.00631953946684e-14	1
ENSG00000162366.7	Thyroid	0.0808003655616096	3.94767805726303e-12	1
ENSG00000162377.5	Thyroid	0.0790906223617204	6.78606737498932e-12	1
ENSG00000162461.7	Thyroid	0.477698402519175	1.01896497311827e-82	1
ENSG00000162482.4	Thyroid	0.364502368540081	2.70071357833876e-58	1
ENSG00000162511.7	Thyroid	0.191840903552466	2.64578226519314e-28	1
ENSG00000162526.6	Thyroid	0.154243156260433	1.30952515815021e-22	1
ENSG00000162543.5	Thyroid	0.126512188724493	1.46679331090558e-18	1
ENSG00000162595.5	Thyroid	0.363265307901095	4.71800792383188e-58	1
ENSG00000162601.9	Thyroid	0.156569686735815	5.91270938145515e-23	1
ENSG00000162616.8	Thyroid	0.0612347288649696	1.86185628379294e-09	1
ENSG00000162702.7	Thyroid	0.0574222895280186	6.11761545421613e-09	1
ENSG00000162851.7	Thyroid	0.373475076701208	4.57119705705254e-60	1
ENSG00000162888.4	Thyroid	0.0464682711140653	1.84071909068264e-07	1
ENSG00000162896.5	Thyroid	0.0947245618205613	4.64685084862481e-14	1
ENSG00000163154.5	Thyroid	0.140233985086176	1.50613058656618e-20	1
ENSG00000163191.5	Thyroid	0.100741548968703	6.6974981161348e-15	1
ENSG00000163348.3	Thyroid	0.0357909433387434	5.02009151553522e-06	1
ENSG00000163563.7	Thyroid	0.193309013528169	1.56705581672069e-28	1
ENSG00000163866.8	Thyroid	0.33046509245365	8.57258970435031e-52	1
ENSG00000169291.9	Thyroid	0.086441850897176	6.57027010156654e-13	1
ENSG00000169418.9	Thyroid	0.199390755932746	1.77216675134239e-29	1
ENSG00000169885.9	Thyroid	0.377410026746052	7.50262293688096e-61	1
ENSG00000169914.5	Thyroid	0.391586610855721	1.01465115869348e-63	1
ENSG00000169962.4	Thyroid	0.173997138091932	1.43213643406354e-25	1
ENSG00000170075.8	Thyroid	0.0989775860627302	1.18312093561474e-14	1
ENSG00000170989.8	Thyroid	0.0342410251463115	8.11032834180053e-06	1
ENSG00000171357.5	Thyroid	0.177550716395082	4.13203749163673e-26	1
ENSG00000171385.9	Thyroid	0.0494874331680205	7.21555892999497e-08	1
ENSG00000171517.5	Thyroid	0.0881898980517278	3.76271734750612e-13	1
ENSG00000172031.6	Thyroid	0.121544570602368	7.57218075475883e-18	1
ENSG00000172339.9	Thyroid	0.0297912863148805	3.21796717669781e-05	1
ENSG00000172380.5	Thyroid	0.166636678312511	1.84967381473575e-24	1
ENSG00000172410.4	Thyroid	0.0777802326389545	1.02733769401917e-11	1
ENSG00000173110.7	Thyroid	0.0390693639643396	1.82015833983059e-06	1
ENSG00000174307.6	Thyroid	0.0702344396896107	1.10940042986953e-10	1
ENSG00000174529.7	Thyroid	0.184731869139178	3.29941613189179e-27	1
ENSG00000175087.9	Thyroid	0.247178992050572	3.61498498888604e-37	1
ENSG00000175130.6	Thyroid	0.0689846072567091	1.64310637150946e-10	1
ENSG00000175707.8	Thyroid	0.185438734222411	2.56970563580738e-27	1
ENSG00000176022.4	Thyroid	0.191175336605827	3.35387027116261e-28	1
ENSG00000177212.3	Thyroid	0.463370367087009	2.37775112169212e-79	1
ENSG00000177272.8	Thyroid	0.0618837005095442	1.52011620417072e-09	1
ENSG00000177757.2	Thyroid	0.227084933450263	7.04866582130842e-34	1
ENSG00000177888.7	Thyroid	0.0472319734599668	1.45262340965e-07	1
ENSG00000179023.8	Thyroid	0.333579593979827	2.24886749755269e-52	1
ENSG00000181218.5	Thyroid	0.0799316770849175	5.1990429766454e-12	1
ENSG00000181656.6	Thyroid	0.0506366651244471	5.05031790812612e-08	1
ENSG00000181773.6	Thyroid	0.0395399129193568	1.57349340369616e-06	1
ENSG00000181817.5	Thyroid	0.0747703914467262	2.65854816517647e-11	1
ENSG00000182749.5	Thyroid	0.0938173854238232	6.21703922395906e-14	1
ENSG00000183508.4	Thyroid	0.276002560133482	4.84645050366586e-42	1
ENSG00000183615.5	Thyroid	0.0600984544106403	2.65494766547793e-09	1
ENSG00000183831.6	Thyroid	0.254803452816423	1.93741520587214e-38	1
ENSG00000183888.4	Thyroid	0.312601113719264	1.64298084706793e-48	1
ENSG00000184292.6	Thyroid	0.243972508544328	1.22692517814946e-36	1
ENSG00000184389.9	Thyroid	0.207096786212596	1.09417376559263e-30	1
ENSG00000184454.6	Thyroid	0.585213381641189	2.1713770624514e-111	1
ENSG00000185519.8	Thyroid	0.325073011851699	8.56935256845013e-51	1
ENSG00000185523.6	Thyroid	0.103706110297136	2.56840980033185e-15	1
ENSG00000186007.9	Thyroid	0.253927882145303	2.71527167066366e-38	1
ENSG00000186160.4	Thyroid	0.201055891241252	9.73032687217481e-30	1
ENSG00000186377.7	Thyroid	0.105504918826343	1.43389445709914e-15	1
ENSG00000186564.5	Thyroid	0.226621814889659	8.37423098032243e-34	1
ENSG00000186603.5	Thyroid	0.106269040740226	1.11904656472193e-15	1
ENSG00000187513.8	Thyroid	0.171693721907815	3.19676622589307e-25	1
ENSG00000187815.9	Thyroid	0.312523957101001	1.69678338166493e-48	1
ENSG00000188004.9	Thyroid	0.231796351589044	1.21413506453527e-34	1
ENSG00000188015.9	Thyroid	0.155377381677629	8.88940069682113e-23	1
ENSG00000188060.7	Thyroid	0.234006239824405	5.30166599296826e-35	1
ENSG00000188396.3	Thyroid	0.0220274590705861	0.000359944854013357	1
ENSG00000188782.8	Thyroid	0.0626389658026188	1.20042514803831e-09	1
ENSG00000188783.5	Thyroid	0.0441740921835706	3.74751376963479e-07	1
ENSG00000188786.9	Thyroid	0.0909201071781998	1.57270455000418e-13	1
ENSG00000188822.7	Thyroid	0.224786600328156	1.65607174199526e-33	1
ENSG00000188910.7	Thyroid	0.186826070517343	1.57241074529852e-27	1
ENSG00000189280.3	Thyroid	0.251931632842085	5.85331068981301e-38	1
ENSG00000189334.8	Thyroid	0.399178397937597	2.77052070557046e-65	1
ENSG00000189433.5	Thyroid	0.0678516339467564	2.3450756934675e-10	1
ENSG00000196071.4	Thyroid	0.329845417594722	1.11794564494583e-51	1
ENSG00000196420.7	Thyroid	0.0949838026111444	4.27573958832321e-14	1
ENSG00000197106.6	Thyroid	0.0565341872518874	8.0678759153303e-09	1
ENSG00000197241.3	Thyroid	0.0562831823873483	8.72395908430988e-09	1
ENSG00000197747.8	Thyroid	0.111270617206335	2.19838276965329e-16	1
ENSG00000197769.5	Thyroid	0.0402277602154702	1.27177025363552e-06	1
ENSG00000197880.8	Thyroid	0.212111754073625	1.76150994922724e-31	1
ENSG00000197921.5	Thyroid	0.029276251543574	3.77512938147106e-05	1
ENSG00000197956.9	Thyroid	0.14018435341551	1.53146696756312e-20	1
ENSG00000198049.6	Thyroid	0.141245723675233	1.07173885292369e-20	1
ENSG00000198711.5	Thyroid	0.227208584695288	6.73159543378705e-34	1
ENSG00000198754.5	Thyroid	0.353632333723654	3.50409905031837e-56	1
ENSG00000198797.6	Thyroid	0.291532943334724	9.55678160785515e-45	1
ENSG00000198815.8	Thyroid	0.0364442844680947	4.10114199303389e-06	1
ENSG00000198837.9	Thyroid	0.283099629844411	2.86025875636661e-43	1
ENSG00000198841.3	Thyroid	0.105640732691416	1.37210108025901e-15	1
ENSG00000198890.7	Thyroid	0.292007986990248	7.88224286019095e-45	1
ENSG00000198892.6	Thyroid	0.463446106754905	2.2834906532605e-79	1
ENSG00000198952.8	Thyroid	0.157208431025424	4.7513888548334e-23	1
ENSG00000203356.2	Thyroid	0.108510723022236	5.40155251702946e-16	1
ENSG00000203667.9	Thyroid	0.314856786052459	6.39489868552202e-49	1
ENSG00000203668.2	Thyroid	0.067496969161045	2.62115176019551e-10	1
ENSG00000203685.9	Thyroid	0.187318021716373	1.32080714777465e-27	1
ENSG00000203730.2	Thyroid	0.0785917101751128	7.94712077020328e-12	1
ENSG00000203782.5	Thyroid	0.0434456110270783	4.69611789141168e-07	1
ENSG00000203786.6	Thyroid	0.0235477735329835	0.000223960242855992	1
ENSG00000203814.6	Thyroid	0.0384217489154163	2.22406721293997e-06	1
ENSG00000203910.8	Thyroid	0.0359527114204119	4.77496504800209e-06	1
ENSG00000203943.8	Thyroid	0.132713414068753	1.86764893072927e-19	1
ENSG00000204178.9	Thyroid	0.0448738786780263	3.01709013977144e-07	1
ENSG00000204219.9	Thyroid	0.0845416712403953	1.20312604115346e-12	1
ENSG00000204624.7	Thyroid	0.0404463897455391	1.1885571003025e-06	1
ENSG00000205090.8	Thyroid	0.238453148080871	9.93578729695374e-36	1
ENSG00000211581.1	Thyroid	0.0481676845556121	1.08671698887939e-07	1
ENSG00000212916.4	Thyroid	0.108824874699623	4.87676979603541e-16	1
ENSG00000213057.5	Thyroid	0.157406103157564	4.44035523248459e-23	1
ENSG00000213064.9	Thyroid	0.145378512957894	2.65932502831423e-21	1
ENSG00000213171.2	Thyroid	0.445343262801081	3.08116653586888e-75	1
ENSG00000213190.3	Thyroid	0.17283558076887	2.14760554863258e-25	1
ENSG00000213512.1	Thyroid	0.42951246978323	9.8167049671384e-72	1
ENSG00000213625.8	Thyroid	0.166257452453646	2.10905850636482e-24	1
ENSG00000214114.8	Thyroid	0.0934218414281093	7.05787376193619e-14	1
ENSG00000214837.8	Thyroid	0.229760263841086	2.59972420373221e-34	1
ENSG00000215014.4	Thyroid	0.244994352284476	8.31630095785937e-37	1
ENSG00000215704.9	Thyroid	0.122658666235128	5.24404802505615e-18	1
ENSG00000215784.5	Thyroid	0.232038346763233	1.10894547282901e-34	1
ENSG00000215788.9	Thyroid	0.0773458023365009	1.17862803721315e-11	1
ENSG00000215866.7	Thyroid	0.149738726734348	6.06982217854497e-22	1
ENSG00000215869.4	Thyroid	0.150668163933548	4.42601961674363e-22	1
ENSG00000218510.6	Thyroid	0.567580469313854	3.26873777837887e-106	1
ENSG00000221571.3	Thyroid	0.188810966698966	7.77604336632708e-28	1
ENSG00000222009.8	Thyroid	0.244533439510055	9.9114325267392e-37	1
ENSG00000223396.2	Thyroid	0.380876621537277	1.51258208642316e-61	1
ENSG00000223745.7	Thyroid	0.704594332152221	1.37578194025425e-153	1
ENSG00000223764.2	Thyroid	0.0314419237554937	1.92948011217427e-05	1
ENSG00000223804.5	Thyroid	0.197329510826874	3.71618868645482e-29	1
ENSG00000223823.1	Thyroid	0.133939688829342	1.24051663434908e-19	1
ENSG00000223842.1	Thyroid	0.0927125389958682	8.85958740072006e-14	1
ENSG00000224051.6	Thyroid	0.0872446505272811	5.08689195477516e-13	1
ENSG00000224259.6	Thyroid	0.0336306085027502	9.79714399442682e-06	1
ENSG00000224286.5	Thyroid	0.127043447566399	1.23002991770804e-18	1
ENSG00000224687.1	Thyroid	0.134578255419329	1.00225859335693e-19	1
ENSG00000224717.1	Thyroid	0.106928588939197	9.03336685702645e-16	1
ENSG00000224810.1	Thyroid	0.0715564586259683	7.31952886776165e-11	1
ENSG00000224863.2	Thyroid	0.22384944827929	2.34442712660373e-33	1
ENSG00000224870.6	Thyroid	0.113143269837246	1.19285569937819e-16	1
ENSG00000224939.1	Thyroid	0.0818284837846629	2.84904895165963e-12	1
ENSG00000224950.2	Thyroid	0.158444476312974	3.11069411719108e-23	1
ENSG00000225285.1	Thyroid	0.115187275551788	6.11235998217358e-17	1
ENSG00000225518.2	Thyroid	0.18253786973552	7.15808151239287e-27	1
ENSG00000225556.1	Thyroid	0.132273271979914	2.16280555405092e-19	1
ENSG00000225826.1	Thyroid	0.189413588390178	6.27728816117097e-28	1
ENSG00000226029.1	Thyroid	0.149232058539701	7.20922992214285e-22	1
ENSG00000226067.6	Thyroid	0.542282826890475	3.85570875822404e-99	1
ENSG00000226251.5	Thyroid	0.480801641005913	1.84749387470244e-83	1
ENSG00000226476.3	Thyroid	0.060909166545221	2.06116540887568e-09	1
ENSG00000226822.2	Thyroid	0.256897807716061	8.62766824649247e-39	1
ENSG00000226828.1	Thyroid	0.108549251362147	5.33427853764912e-16	1
ENSG00000227082.1	Thyroid	0.304587676413989	4.57938181019303e-47	1
ENSG00000227373.5	Thyroid	0.214898959018939	6.35216283065683e-32	1
ENSG00000227533.5	Thyroid	0.469385297198407	9.4039503269223e-81	1
ENSG00000227630.2	Thyroid	0.0913198194596168	1.38389529231737e-13	1
ENSG00000227740.1	Thyroid	0.0848959271065856	1.07488767646936e-12	1
ENSG00000228106.5	Thyroid	0.242849222204947	1.88024584255966e-36	1
ENSG00000228126.1	Thyroid	0.0684905410963849	1.9188984399714e-10	1
ENSG00000228140.1	Thyroid	0.356196770770306	1.12008603388843e-56	1
ENSG00000228463.9	Thyroid	0.255263463218842	1.62232829987482e-38	1
ENSG00000228526.6	Thyroid	0.133616616542691	1.38178233746342e-19	1
ENSG00000228549.3	Thyroid	0.131875048720922	2.4697061343615e-19	1
ENSG00000228594.3	Thyroid	0.174268219489807	1.30281556252427e-25	1
ENSG00000228794.8	Thyroid	0.34156375687636	7.07613484603874e-54	1
ENSG00000230021.8	Thyroid	0.104125370632575	2.2423375981651e-15	1
ENSG00000230415.1	Thyroid	0.030522138731708	2.56568532917105e-05	1
ENSG00000230615.6	Thyroid	0.0232502985297435	0.00024572807440325	1
ENSG00000230623.4	Thyroid	0.109612953127457	3.77332789101005e-16	1
ENSG00000230699.2	Thyroid	0.277736627870095	2.43348606514686e-42	1
ENSG00000231246.1	Thyroid	0.187431301722124	1.26880784121556e-27	1
ENSG00000231346.5	Thyroid	0.176980323230902	5.04617167907055e-26	1
ENSG00000231507.1	Thyroid	0.054436427889917	1.55018270343847e-08	1
ENSG00000231551.8	Thyroid	0.48627041957159	8.89007623364111e-85	1
ENSG00000231768.1	Thyroid	0.109484133812209	3.93496771098125e-16	1
ENSG00000232212.1	Thyroid	0.198356731705284	2.56999164617298e-29	1
ENSG00000232671.5	Thyroid	0.0625754276433131	1.22451355754117e-09	1
ENSG00000232860.7	Thyroid	0.148478312833311	9.31019086808766e-22	1
ENSG00000233008.5	Thyroid	0.208399270932116	6.81624364808889e-31	1
ENSG00000233154.5	Thyroid	0.135180658414413	8.19492009771108e-20	1
ENSG00000233396.7	Thyroid	0.278911552699333	1.52442518126325e-42	1
ENSG00000233421.4	Thyroid	0.284632822496986	1.54641232087298e-43	1
ENSG00000233593.8	Thyroid	0.142540275682955	6.93061611627954e-21	1
ENSG00000233791.5	Thyroid	0.117869659575544	2.53647794198562e-17	1
ENSG00000234396.3	Thyroid	0.0280942001899702	5.44726720690332e-05	1
ENSG00000234546.3	Thyroid	0.100251924472661	7.84415932832163e-15	1
ENSG00000234571.1	Thyroid	0.248608998400076	2.09271149406464e-37	1
ENSG00000234807.5	Thyroid	0.169099705027548	7.87641027759448e-25	1
ENSG00000234917.2	Thyroid	0.11942572281414	1.52113290645351e-17	1
ENSG00000234996.4	Thyroid	0.0382724540772698	2.32923039506217e-06	1
ENSG00000235098.8	Thyroid	0.211830213168185	1.95229334531823e-31	1
ENSG00000235169.7	Thyroid	0.177500028651721	4.20610228321978e-26	1
ENSG00000235358.1	Thyroid	0.190444921835491	4.34990058898992e-28	1
ENSG00000235750.9	Thyroid	0.294166558826887	3.27941685836291e-45	1
ENSG00000235919.4	Thyroid	0.0720064695242281	6.35278145299031e-11	1
ENSG00000236140.1	Thyroid	0.0545570309008941	1.49308986236819e-08	1
ENSG00000236268.5	Thyroid	0.181382785467903	1.07530972044441e-26	1
ENSG00000236975.1	Thyroid	0.659022058735521	9.39569619997373e-136	1
ENSG00000237352.3	Thyroid	0.168007524922361	1.15044600937397e-24	1
ENSG00000237491.8	Thyroid	0.418137765868256	2.81782886189572e-69	1
ENSG00000238005.2	Thyroid	0.0324866389502408	1.39611046275544e-05	1
ENSG00000238164.6	Thyroid	0.276511126353024	3.96049282443445e-42	1
ENSG00000238243.3	Thyroid	0.346238094548496	9.16128463021513e-55	1
ENSG00000239887.4	Thyroid	0.206431877716741	1.39279569046183e-30	1
ENSG00000240038.6	Thyroid	0.103504138993353	2.74195516578024e-15	1
ENSG00000240219.1	Thyroid	0.215801775740157	4.56154266218233e-32	1
ENSG00000240563.1	Thyroid	0.659024934338578	9.37304110124727e-136	1
ENSG00000241563.3	Thyroid	0.162528071359032	7.64305394927738e-24	1
ENSG00000242485.5	Thyroid	0.230424257857048	2.02856328208067e-34	1
ENSG00000243480.7	Thyroid	0.096542081875018	2.59147916926107e-14	1
ENSG00000243710.7	Thyroid	0.0252110912631604	0.000133415889551971	1
ENSG00000243749.1	Thyroid	0.198338452150736	2.58692371800021e-29	1
ENSG00000244038.9	Thyroid	0.236694070631883	1.92913090577287e-35	1
ENSG00000244414.6	Thyroid	0.096416994426734	2.69783743414413e-14	1
ENSG00000248333.8	Thyroid	0.330166281869509	9.74378456479217e-52	1
ENSG00000248458.2	Thyroid	0.0813920170719536	3.27224754334166e-12	1
ENSG00000248485.1	Thyroid	0.172392952225381	2.50581217686361e-25	1
ENSG00000249087.6	Thyroid	0.329063968222403	1.56200316821984e-51	1
ENSG00000253304.1	Thyroid	0.174440957850209	1.22655088159023e-25	1
ENSG00000253313.5	Thyroid	0.0217745834749502	0.000389545940492271	1
ENSG00000253368.3	Thyroid	0.145942366869528	2.19772853612069e-21	1
ENSG00000257315.2	Thyroid	0.166068112388559	2.25182763741561e-24	1
ENSG00000259834.1	Thyroid	0.251878891384498	5.97314746336809e-38	1
ENSG00000259865.1	Thyroid	0.440023813422656	4.75171429194373e-74	1
ENSG00000260460.1	Thyroid	0.0454930278434786	2.49038225219512e-07	1
ENSG00000260464.1	Thyroid	0.184923965676302	3.08280213477222e-27	1
ENSG00000260698.1	Thyroid	0.318262061729903	1.52984791844603e-49	1
ENSG00000260805.2	Thyroid	0.168180113537837	1.083625664336e-24	1
ENSG00000261135.1	Thyroid	0.286752552930946	6.59388135895168e-44	1
ENSG00000261504.1	Thyroid	0.09394807366333	5.96179862855434e-14	1
ENSG00000264443.1	Thyroid	0.12196861833988	6.58434943698993e-18	1
ENSG00000267272.5	Thyroid	0.0326028414776693	1.34676802200657e-05	1
ENSG00000269113.3	Thyroid	0.0877108964661545	4.38403838090021e-13	1
ENSG00000269489.1	Thyroid	0.10998233503075	3.34561969348715e-16	1
ENSG00000269978.1	Thyroid	0.152326820165911	2.51701188613457e-22	1
ENSG00000270115.1	Thyroid	0.0514337714170196	3.94272437073791e-08	1
ENSG00000270361.1	Thyroid	0.0553802802931334	1.15561294245467e-08	1
ENSG00000270457.1	Thyroid	0.0594289182114465	3.27198255332941e-09	1
ENSG00000271200.1	Thyroid	0.077776600305453	1.02851863956882e-11	1
ENSG00000271387.1	Thyroid	0.17567114244205	7.97930768803762e-26	1
ENSG00000271420.1	Thyroid	0.180788208124168	1.32560888606396e-26	1
ENSG00000271427.1	Thyroid	0.0743503799236471	3.03520439418697e-11	1
ENSG00000271811.1	Thyroid	0.363949110731665	3.46651148583276e-58	1
ENSG00000271992.1	Thyroid	0.0578807186891987	5.30302008903307e-09	1
ENSG00000272068.1	Thyroid	0.11989919180446	1.3017543428261e-17	1
ENSG00000272088.1	Thyroid	0.160747028202842	1.41085418861833e-23	1
ENSG00000272141.1	Thyroid	0.19843510471719	2.49863904175685e-29	1
ENSG00000272195.1	Thyroid	0.36116014471728	1.21614919716094e-57	1
ENSG00000272226.1	Thyroid	0.110535917235555	2.79343305180772e-16	1
ENSG00000272426.1	Thyroid	0.218361951662613	1.78001663210357e-32	1
ENSG00000272432.1	Thyroid	0.0959659070567781	3.11883025080491e-14	1
ENSG00000272438.1	Thyroid	0.0923308746031594	1.00119158774961e-13	1
ENSG00000272482.1	Thyroid	0.185823770739494	2.2424099784156e-27	1
ENSG00000272823.1	Thyroid	0.384053565708919	3.45886491170975e-62	1
ENSG00000272864.1	Thyroid	0.498282999318045	1.0110611739747e-87	1
ENSG00000273004.1	Thyroid	0.0609906256952799	2.00938310812302e-09	1
ENSG00000273129.1	Thyroid	0.0497307485874742	6.69068138251327e-08	1
ENSG00000273160.1	Thyroid	0.0334065055585314	1.05009672960976e-05	1
ENSG00000273198.1	Thyroid	0.188425478518442	8.91673776625053e-28	1
ENSG00000273365.1	Thyroid	0.091572835655189	1.27624412549951e-13	1
ENSG00000273384.1	Thyroid	0.0916279551849741	1.25392343708326e-13	1
ENSG00000273443.1	Thyroid	0.0750657847318061	2.42193684171563e-11	1
ENSG00000273487.1	Thyroid	0.0648904873851597	5.9338460448536e-10	1
ENSG00000000457.13	Thyroid	0.279569916243414	1.1725862656531e-42	1
ENSG00000000460.16	Thyroid	0.251554854082756	6.76497595050517e-38	1
ENSG00000000938.12	Thyroid	0.0477773989185207	1.22656906008995e-07	1
ENSG00000000971.15	Thyroid	0.0803562585497549	4.54451357024501e-12	1
ENSG00000001460.17	Thyroid	0.248897850682038	1.87371237170513e-37	1
ENSG00000001461.16	Thyroid	0.111091599889057	2.33055578903875e-16	1
